input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-1,QSS,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,MSC,Mang-2,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CS,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N12,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,RS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,IC,Mang-2,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SFR,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EU,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EIS,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SR,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,PC,Mang-2,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,F,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CMI,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,QSS,Mang-2,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,MSC,Mang-2,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N13,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,RS,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,IC,Mang-2,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SFR,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,EU,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F14,1–9 alternative performance rating; public raw supplement
