NP_ID,configuration_or_branch,deleted_criterion,operation_type,status,baseline_winner_retained,exact_winner_set,baseline_top2_both_retained,baseline_top2_overlap_share,MARD,Kendall_tau_b,complete_weak_order,terminal_score_vector,baseline_recommendation_set_retained,baseline_A2_in_recommendation_set,exact_native_recommendation_set,top_Q_leader_set_SECONDARY,C1_acceptable_advantage,C2_acceptable_stability,native_solver_status,native_solver_objective,method_note
NP03,ERP04_COST_PARALLEL,ERP07,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.531951157516435;ERPsys2:Ci=0.544970210497867;ERPsys3:Ci=0.550686018627303;ERPsys4:Ci=0.5144792954886,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP08,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0.333333333333333,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys1:Ci=0.506360874655543;ERPsys2:Ci=0.522892453498503;ERPsys3:Ci=0.551587690692584;ERPsys4:Ci=0.540768890134389,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP09,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,ERPsys1,NO,0.5,1.5,-0.333333333333333,ERPsys1 > ERPsys2 > ERPsys4 > ERPsys3,ERPsys1:Ci=0.661482152933427;ERPsys2:Ci=0.578553247523576;ERPsys3:Ci=0.470321121643318;ERPsys4:Ci=0.49331918138362,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP10,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.520914761648834;ERPsys2:Ci=0.535294012095552;ERPsys3:Ci=0.561789466566175;ERPsys4:Ci=0.50683672022,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP11,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,ERPsys2,YES,1,0.5,0.666666666666667,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.530850762844402;ERPsys2:Ci=0.551201040940649;ERPsys3:Ci=0.543537706102351;ERPsys4:Ci=0.522125027346481,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP12,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,ERPsys1:Ci=0.531614440078776;ERPsys2:Ci=0.528295988978116;ERPsys3:Ci=0.572921943757481;ERPsys4:Ci=0.534101481685451,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP13,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.524125407266472;ERPsys2:Ci=0.544062582514571;ERPsys3:Ci=0.557475189999454;ERPsys4:Ci=0.522174824304591,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP14,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.525977543032496;ERPsys2:Ci=0.543889896571813;ERPsys3:Ci=0.549568053555746;ERPsys4:Ci=0.520236278513555,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,ERP04_COST_PARALLEL,ERP15,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.530648846418389;ERPsys2:Ci=0.540598669855914;ERPsys3:Ci=0.546115627106715;ERPsys4:Ci=0.519089927192351,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP04,NP04_PRIMARY,EIS,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.851819846993952;SFT-2:Y_crisp=0.902669624036903;SFT-3:Y_crisp=0.887892754989824;SFT-4:Y_crisp=0.931991808753712;SFT-5:Y_crisp=0.917593019919971;SFT-6:Y_crisp=0.910977750820874,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,SR,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.85372351241152;SFT-2:Y_crisp=0.906757986101004;SFT-3:Y_crisp=0.889486821141713;SFT-4:Y_crisp=0.933369963686263;SFT-5:Y_crisp=0.923105205139427;SFT-6:Y_crisp=0.916648659847844,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,CMI,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.854113330770525;SFT-2:Y_crisp=0.904277549736501;SFT-3:Y_crisp=0.885366690564783;SFT-4:Y_crisp=0.930465236149042;SFT-5:Y_crisp=0.917130149102975;SFT-6:Y_crisp=0.911464731304177,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,CS,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.855277532124546;SFT-2:Y_crisp=0.902830290782224;SFT-3:Y_crisp=0.885439885387218;SFT-4:Y_crisp=0.931616010972528;SFT-5:Y_crisp=0.918593672449696;SFT-6:Y_crisp=0.913242551951936,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,EU,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,NO,0.5,0.333333333333333,0.866666666666667,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.871755697905846;SFT-2:Y_crisp=0.906745023196395;SFT-3:Y_crisp=0.896372770809555;SFT-4:Y_crisp=0.940137943786551;SFT-5:Y_crisp=0.926008275540538;SFT-6:Y_crisp=0.93069942978887,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,RS,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.845480197338145;SFT-2:Y_crisp=0.901003103975486;SFT-3:Y_crisp=0.885458337459902;SFT-4:Y_crisp=0.933834520220214;SFT-5:Y_crisp=0.91864022209184;SFT-6:Y_crisp=0.910797544714529,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,SFR,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.853052357624548;SFT-2:Y_crisp=0.903224121323627;SFT-3:Y_crisp=0.886305091728322;SFT-4:Y_crisp=0.932152038166036;SFT-5:Y_crisp=0.918178864090729;SFT-6:Y_crisp=0.911975842648792,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,QSS,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.852505539870765;SFT-2:Y_crisp=0.902602209660273;SFT-3:Y_crisp=0.886867236626302;SFT-4:Y_crisp=0.933346318336229;SFT-5:Y_crisp=0.918431620346625;SFT-6:Y_crisp=0.912243279764048,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,F,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,YES,1,0,1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.852882746466069;SFT-2:Y_crisp=0.908116390856556;SFT-3:Y_crisp=0.890262096696166;SFT-4:Y_crisp=0.936533199271881;SFT-5:Y_crisp=0.924147760096732;SFT-6:Y_crisp=0.915872471005851,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,IC,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,SFT-4,NO,0.5,0.333333333333333,0.866666666666667,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-1:Y_crisp=0.839843455285778;SFT-2:Y_crisp=0.887376145491309;SFT-3:Y_crisp=0.873100548386106;SFT-4:Y_crisp=0.928955801877397;SFT-5:Y_crisp=0.916102615390752;SFT-6:Y_crisp=0.917049782718917,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
NP04,NP04_PRIMARY,PC,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,NO,SFT-2,NO,0.5,1.66666666666667,0.333333333333333,SFT-2 > SFT-4 > SFT-5 > SFT-3 > SFT-1 > SFT-6,SFT-1:Y_crisp=0.882180668217828;SFT-2:Y_crisp=0.922543714689359;SFT-3:Y_crisp=0.882803129186729;SFT-4:Y_crisp=0.898470196966029;SFT-5:Y_crisp=0.897782565281175;SFT-6:Y_crisp=0.878076294844011,,,,,,,,,prespecified primary rough-normalized criterion omitted; remaining rough weights unchanged; native WISP utilities recomputed
