NP_ID,configuration_or_branch,delta,distribution_type,label,count,frequency,note
NP05,p-HFC_CE-I_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.05,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.10,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.20,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.30,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hausdorff,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.40,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.40,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Euclidean,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.40,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-I_Hausdorff,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.40,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Hamming,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A3,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.40,EXACT_WINNER_SET,A2,10000,1.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A1,0,0.000000000000,
NP05,p-HFC_CE-II_Euclidean,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A2,10000,1.000000000000,
